Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Nov 11 2008,7:00 PM,Utah Jazz,93,Philadelphia 76ers,80,Box Score,,
Tue Nov 11 2008,7:00 PM,Detroit Pistons,100,Sacramento Kings,92,Box Score,,
Tue Nov 11 2008,7:30 PM,New York Knicks,80,San Antonio Spurs,92,Box Score,,
Wed Nov 12 2008,7:30 PM,Atlanta Hawks,102,Boston Celtics,103,Box Score,,
Wed Nov 12 2008,7:30 PM,Sacramento Kings,103,Los Angeles Clippers,98,Box Score,,
Wed Nov 12 2008,7:00 PM,New York Knicks,132,Memphis Grizzlies,103,Box Score,,
Wed Nov 12 2008,8:00 PM,Portland Trail Blazers,104,Miami Heat,96,Box Score,,
Wed Nov 12 2008,7:00 PM,San Antonio Spurs,78,Milwaukee Bucks,82,Box Score,,
Wed Nov 12 2008,7:30 PM,Indiana Pacers,98,New Jersey Nets,87,Box Score,,
Wed Nov 12 2008,7:00 PM,Los Angeles Lakers,93,New Orleans Hornets,86,Box Score,,
Wed Nov 12 2008,7:00 PM,Orlando Magic,109,Oklahoma City Thunder,92,Box Score,,
Wed Nov 12 2008,8:30 PM,Houston Rockets,94,Phoenix Suns,82,Box Score,,
Wed Nov 12 2008,7:00 PM,Philadelphia 76ers,106,Toronto Raptors,96,Box Score,,
Wed Nov 12 2008,8:00 PM,Utah Jazz,87,Washington Wizards,95,Box Score,,
Thu Nov 13 2008,7:30 PM,Dallas Mavericks,91,Chicago Bulls,98,Box Score,,
Thu Nov 13 2008,8:00 PM,Denver Nuggets,99,Cleveland Cavaliers,110,Box Score,,
Thu Nov 13 2008,7:30 PM,Detroit Pistons,107,Golden State Warriors,102,Box Score,,
Fri Nov 14 2008,8:00 PM,Denver Nuggets,94,Boston Celtics,85,Box Score,,
Fri Nov 14 2008,7:00 PM,Utah Jazz,96,Charlotte Bobcats,104,Box Score,,
Fri Nov 14 2008,7:30 PM,Orlando Magic,102,Dallas Mavericks,100,Box Score,,
Fri Nov 14 2008,7:00 PM,Philadelphia 76ers,94,Indiana Pacers,92,Box Score,,
Fri Nov 14 2008,7:30 PM,Detroit Pistons,106,Los Angeles Lakers,95,Box Score,,
Fri Nov 14 2008,7:00 PM,Milwaukee Bucks,101,Memphis Grizzlies,96,Box Score,OT,
Fri Nov 14 2008,7:30 PM,Washington Wizards,77,Miami Heat,97,Box Score,,
